1_start_9901_end_1171100	1_start_1171101_end_1181500	1_start_1181501_end_1457100	1_start_1457101_end_1466900	1_start_1466901_end_2283500	1_start_2283501_end_2293500	1_start_2293501_end_2444900	1_start_2444901_end_2454700	1_start_2454701_end_2915700	1_start_2915701_end_2925700	1_start_2925701_end_5090800	1_start_5090801_end_5100800	1_start_5100801_end_6442600	1_start_6442601_end_6452500	1_start_6452501_end_6666300	1_start_6666301_end_6676300	1_start_6676301_end_8320600	1_start_8320601_end_8330600	1_start_8330601_end_9232600	1_start_9232601_end_9242500	1_start_9242501_end_9509400	1_start_9509401_end_9519300	1_start_9519301_end_10089800	1_start_10089801_end_10100500	1_start_10100501_end_10286800	1_start_10286801_end_10296800	1_start_10296801_end_11643500	1_start_11643501_end_11654600	1_start_11654601_end_13538000	1_start_13538001_end_13547900	1_start_13547901_end_13758700	1_start_13758701_end_13768600	1_start_13768601_end_14904800	1_start_14904801_end_14914700	1_start_14914701_end_15400000	1_start_15400001_end_15410000	1_start_15410001_end_17576800	1_start_17576801_end_17584000	1_start_17584001_end_17774500	1_start_17774501_end_17783100	1_start_17783101_end_18858100	1_start_18858101_end_18868100	1_start_18868101_end_19105400	1_start_19105401_end_19115300	1_start_19115301_end_20703900	1_start_20703901_end_20713900	1_start_20713901_end_21564300	1_start_21564301_end_21574200	1_start_21574201_end_23189700	1_start_23189701_end_23199800	1_start_23199801_end_23359200	1_start_23359201_end_23369300	1_start_23369301_end_23736400	1_start_23736401_end_23746400	1_start_23746401_end_24495000	1_start_24495001_end_24505000	1_start_24505001_end_24777300	1_start_24777301_end_24787400	1_start_24787401_end_27409300	1_start_27409301_end_27419100	1_start_27419101_end_34636000	1_start_34636001_end_34645500	1_start_34645501_end_36786800	1_start_36786801_end_36796800	1_start_36796801_end_38672800	1_start_38672801_end_38682100	1_start_38682101_end_39721700	1_start_39721701_end_39731800	1_start_39731801_end_40659700	1_start_40659701_end_40669700	1_start_40669701_end_41188800	1_start_41188801_end_41198800	1_start_41198801_end_42740000	1_start_42740001_end_42750000	1_start_42750001_end_42840700	1_start_42840701_end_42851200	1_start_42851201_end_45462600	1_start_45462601_end_45472600	1_start_45472601_end_47166900	1_start_47166901_end_47176900	1_start_47176901_end_50355800	1_start_50355801_end_50365800	1_start_50365801_end_52621800	1_start_52621801_end_52631800	1_start_52631801_end_60168800	1_start_60168801_end_60178800	1_start_60178801_end_61009800	1_start_61009801_end_61019800	1_start_61019801_end_61811700	1_start_61811701_end_61821700	1_start_61821701_end_61968500	1_start_61968501_end_61978500	1_start_61978501_end_63515000	1_start_63515001_end_63525000	1_start_63525001_end_66397700	1_start_66397701_end_66407600	1_start_66407601_end_68025700	1_start_68025701_end_68035700	1_start_68035701_end_70283700	1_start_70283701_end_70291200
12	13	12	25	12	3	12	11	12	22	12	12	12	13	12	21	12	20	12	4	12	17	12	12	12	12	12	17	12	19	18	15	12	10	12	12	12	8	12	15	12	16	12	14	12	17	12	12	12	15	12	2	8	0	12	24	12	12	12	12	12	19	12	17	12	5	12	12	12	24	12	19	12	17	12	19	12	12	12	17	12	12	12	9	12	21	12	6	12	1	12	23	12	21	12	7	12	11	12	5
4	3	4	11	0	6	4	9	4	4	4	4	4	5	4	4	4	4	4	9	4	9	4	4	4	4	4	9	4	4	4	10	4	11	4	4	4	4	4	6	4	7	4	4	4	9	0	4	4	7	4	4	4	11	4	11	4	4	4	4	4	6	4	4	4	4	4	9	4	12	4	4	4	9	4	8	4	4	4	4	4	4	4	2	4	4	4	3	4	1	4	4	4	4	4	6	4	9	4	4
1	0	1	5	1	2	1	4	1	1	1	1	1	0	1	1	1	1	1	4	1	4	1	1	1	1	1	4	1	1	1	1	1	5	1	1	1	1	1	3	1	4	1	1	1	4	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	3	1	0	1	1	1	4	1	5	1	4	1	4	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	5	1	4	1	1
1	0	1	6	1	2	1	4	1	1	1	1	1	0	1	1	1	1	1	4	1	4	1	1	1	1	1	5	1	1	1	1	1	5	1	1	1	1	1	2	1	4	1	1	1	4	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	2	1	1	1	1	1	1	1	5	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	2	1	4	1	1
1	0	1	5	1	2	1	3	1	4	1	1	1	0	1	1	1	1	1	3	1	3	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	4	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	4	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	6	1	1	1	1	1	2	1	3	1	1
1	0	1	5	1	2	1	3	1	1	1	1	1	0	1	1	1	1	1	4	1	3	1	1	1	1	1	3	1	5	3	1	1	4	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	4	1	1	1	1	1	0	1	1	1	1	1	1	1	5	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	6	1	1	1	1	1	4	1	3	1	3
1	0	1	5	1	2	1	3	1	1	1	1	1	0	1	1	1	1	1	3	1	3	1	1	1	1	1	3	1	1	1	1	1	5	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	1	1	2	1	1	1	4	1	1	1	1	1	0	1	1	1	1	1	3	1	5	1	1	1	3	1	2	1	1	1	3	1	1	1	1	1	1	1	0	1	6	1	1	1	1	1	4	1	3	1	1
1	0	1	5	1	2	1	3	1	1	1	1	1	0	1	1	1	1	1	3	1	3	1	1	1	1	1	4	1	1	1	1	1	4	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	4	1	1	1	1	1	2	1	1	1	1	1	1	1	4	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	4	1	3	1	3
1	0	1	5	1	2	1	3	1	1	1	1	1	0	1	1	1	1	1	3	1	3	1	1	1	1	1	3	1	1	1	1	1	5	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	0	1	1	1	1	1	1	1	4	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	5	1	3	1	1
1	0	1	5	1	2	1	3	1	1	1	1	1	0	1	1	1	1	1	3	1	3	1	1	1	1	1	3	1	1	1	3	1	4	1	1	1	1	1	2	1	5	1	1	1	3	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	5	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	4	1	3	1	1
